patient,recovered,deceased,total_confirmed,test_negative,test_accumulate,test_under_exam,test_total,date
"7,382",166,51,"7,599","-","-","17,458","-",Mon Mar  9 13:41:29 2020
"-","-","-","-","-","-","-","-",Tue Mar 10 13:41:29 2020
"7,407",288,60,"7,755","196,100","203,855","18,540","222,395",Wed Mar 11 15:16:21 2020
"7,470",333,66,"7,869","209,402","217,271","17,727","234,998",Thu Mar 12 15:47:56 2020
"7,402",510,67,"7,979","222,728","230,707","17,940","248,647",Fri Mar 13 14:53:04 2020
"7,300",714,72,"8,086","235,615","243,701","17,634","261,335",Sat Mar 14 08:28:57 2020
"7,253",834,75,"8,162","243,778","251,940","16,272","268,212",Sun Mar 15 02:02:30 2020
"7,024","1,137",75,"8,236","251,297","259,533","14,971","274,504",Mon Mar 16 11:10:30 2020
"6,789","1,540",84,"8,413","270,888","279,301","16,346","295,647",Wed Mar 18 13:29:56 2020
"6,527","1,947",91,"8,565","282,555","291,120","15,904","307,024",Thu Mar 19 13:39:33 2020
"6,325","2,233",94,"8,652","292,487","301,139","15,525","316,664",Fri Mar 20 10:24:43 2020
"6,085","2,612",102,"8,799","303,006","311,805","15,704","327,509",Sat Mar 21 02:22:08 2020
"5,884","2,909",104,"8,897","308,343","317,240","14,540","331,780",Sun Mar 22 04:07:08 2020
"5,684","3,166",111,"8,961","315,447","324,408","13,628","338,036",Mon Mar 23 13:40:27 2020
"5,410","3,507",120,"9,037","324,105","333,142","15,440","348,582",Tue Mar 24 13:25:14 2020
"5,281","3,730",126,"9,137","334,481","343,618","14,278","357,896",Wed Mar 25 10:54:19 2020
"4,966","4,144",131,"9,241","341,332","350,573","14,369","364,942",Thu Mar 26 13:37:34 2020
"4,665","4,528",139,"9,332","352,410","361,742","15,219","376,961",Fri Mar 27 10:29:02 2020
"4,523","4,811",144,"9,478","361,883","371,361","16,564","387,925",Sat Mar 28 10:57:56 2020
"4,398","5,033",152,"9,583","369,530","379,113","15,028","394,141",Sun Mar 29 05:32:53 2020
"4,275","5,228",158,"9,661","372,002","381,663","13,531","395,194",Mon Mar 30 13:49:42 2020
"4,216","5,408",162,"9,786","383,886","393,672","16,892","410,564",Tue Mar 31 13:38:38 2020
"4,155","5,567",165,"9,887","395,075","404,962","16,585","421,547",Wed Apr  1 14:05:00 2020
"3,979","5,828",169,"9,976","403,882","413,858","17,885","431,743",Thu Apr  2 13:49:52 2020
"3,867","6,021",174,"10,062","414,303","424,365","18,908","443,273",Fri Apr  3 13:44:01 2020
"3,654","6,325",177,"10,156","424,732","434,995","20,144","455,032",Sat Apr  4 14:43:11 2020
"3,591","6,463",183,"10,237","431,425","441,662","19,571","461,233",Sun Apr  5 01:16:48 2020
"3,500","6,598",186,"10,284","437,225","447,509","19,295","466,804",Mon Apr  6 13:40:49 2020
"3,445","6,694",192,"10,331","446,323","456,654","20,650","477,304",Tue Apr  7 04:04:56 2020
"3,408","6,776",200,"10,384","457,761","468,145","17,858","486,003",Wed Apr  8 13:33:34 2020
"3,246","6,973",204,"10,423","468,779","479,202","15,509","494,711",Thu Apr  9 02:52:32 2020
"3,125","7,117",208,"10,450","477,303","487,753","15,298","503,051",Fri Apr 10 13:37:24 2020
"3,026","7,243",211,"10,480","485,929","496,409","14,070","510,479",Sat Apr 11 10:35:13 2020
"2,930","7,368",214,"10,512","490,321","500,833","13,788","514,621",Sun Apr 12 11:50:22 2020
"2,873","7,447",217,"10,537","494,815","505,352","13,391","518,743",Mon Apr 13 13:30:11 2020
"2,808","7,534",222,"10,564","502,223","512,787","14,651","527,438",Tue Apr 14 03:10:27 2020
"2,750","7,616",225,"10,591","508,935","519,526","15,026","534,552",Wed Apr 15 10:48:26 2020
"2,627","7,757",229,"10,613","513,894","524,507","14,268","538,775",Thu Apr 16 10:35:18 2020
"2,576","7,829",230,"10,635","521,642","532,277","14,186","546,463",Fri Apr 17 13:46:59 2020
"2,484","7,937",232,"10,653","530,631","541,284","13,550","554,834",Sat Apr 18 11:33:37 2020
"2,385","8,042",234,"10,661","536,205","546,866","12,243","559,109",Sun Apr 19 02:45:23 2020
"2,324","8,114",236,"10,674","540,380","551,054","11,981","563,035",Mon Apr 20 13:39:52 2020
"2,233","8,213",237,"10,683","547,610","558,293","12,721","571,014",Tue Apr 21 14:36:46 2020
"2,179","8,277",238,"10,694","555,144","565,838","12,121","577,959",Wed Apr 22 13:48:19 2020
"2,051","8,411",240,"10,702","563,130","573,832","10,139","583,971",Thu Apr 23 13:37:30 2020
"1,967","8,501",240,"10,708","569,212","579,920","9,600","589,520",Fri Apr 24 10:48:33 2020
"1,843","8,635",240,"10,718","575,184","585,902","9,259","595,161",Sat Apr 25 13:43:56 2020
"1,769","8,717",242,"10,728","578,558","589,286","8,999","598,285",Sun Apr 26 10:44:28 2020
"1,731","8,764",243,"10,738","582,027","592,765","8,895","601,660",Mon Apr 27 13:39:01 2020
"1,654","8,854",244,"10,752","588,559","599,311","9,203","608,514",Tue Apr 28 14:43:39 2020
"1,593","8,922",246,"10,761","595,129","605,890","8,307","614,197",Wed Apr 29 11:31:50 2020
"1,459","9,059",247,"10,765","600,482","611,247","8,634","619,881",Thu Apr 30 13:48:15 2020
"1,454","9,072",248,"10,774","603,610","614,384","8,685","623,069",Fri May  1 10:52:10 2020
